strategy,n_agents,cond,seed,final_disagreement,lyap_rho,msgs_sent
hybrid,40,drop0.3,7,4.473498545789329e-05,0.8135994786240424,5880
hybrid,40,drop0.3,8,5.6782547435892664e-05,0.8179454880408448,5880
hybrid,40,drop0.3,9,3.0276828052458917e-05,0.810516943266749,5880
hybrid,80,drop0.3,0,0.00021592037790867994,0.8169567864285316,12840
hybrid,80,drop0.3,1,0.00046767846041628275,0.8273887628027081,12840
hybrid,80,drop0.3,2,0.00034789670210385345,0.8189216742799752,12840
hybrid,80,drop0.3,3,0.00013989982762576645,0.8126203646225422,12840
hybrid,80,drop0.3,4,0.0001331083034667206,0.8135903224959089,12840
hybrid,80,drop0.3,5,0.00018524491419521353,0.8156159689972464,12840
hybrid,80,drop0.3,6,0.00013033907830235417,0.813287792425996,12840
hybrid,80,drop0.3,7,0.00010676223096677105,0.8150751600548531,12840
hybrid,80,drop0.3,8,0.00023486384153144712,0.8221610573430284,12840
hybrid,80,drop0.3,9,0.00035236824552909194,0.8194982130172788,12840
hybrid,160,drop0.3,0,0.00048266189092028146,0.8174284990614322,27000
hybrid,160,drop0.3,1,0.0007889158831154582,0.8224036729491127,27000
hybrid,160,drop0.3,2,0.0005331887779442499,0.817477219108997,27000
hybrid,160,drop0.3,3,0.0007105356815978294,0.8221322423513259,27000
hybrid,160,drop0.3,4,0.00026990274034352594,0.812074408541673,27000
hybrid,160,drop0.3,5,0.0004109862220796617,0.8159586575516609,27000
hybrid,160,drop0.3,6,0.000361529035469317,0.8183054128742324,27000
hybrid,160,drop0.3,7,0.000541000695171697,0.8195052724442465,27000
hybrid,160,drop0.3,8,0.0003721882993800562,0.8164084355405116,27000
hybrid,160,drop0.3,9,0.0007672216101445847,0.8214002887705796,27000
gnn,10,drop0.3,0,0.003968460263118211,0.8982722384326107,1200
gnn,10,drop0.3,1,0.023155159586440124,0.8944446560894989,1200
gnn,10,drop0.3,2,0.002478805985727297,0.8952664962121474,1200
gnn,10,drop0.3,3,0.001339195496107847,0.8907256860889953,1200
gnn,10,drop0.3,4,0.001581611502264471,0.8994913025584136,1200
gnn,10,drop0.3,5,0.005622292315251555,0.9108918655315967,1200
gnn,10,drop0.3,6,0.0012072838841637517,0.9032054601249253,1200
gnn,10,drop0.3,7,0.0028683702144247595,0.8974300590090913,1200
gnn,10,drop0.3,8,0.012604804205478744,0.9096728291411431,1200
gnn,10,drop0.3,9,0.0049288071847369,0.8998079294086886,1200
gnn,20,drop0.3,0,0.45699789237402044,0.9510814628488597,2400
gnn,20,drop0.3,1,0.02877416642565783,0.8948571223412471,2400
gnn,20,drop0.3,2,0.9251913439638194,0.9571771632912947,2400
gnn,20,drop0.3,3,0.45685604164841875,0.9661814373563468,2400
gnn,20,drop0.3,4,0.1998920106162184,0.9446410483169017,2400
gnn,20,drop0.3,5,0.4490793946288436,0.967479336400068,2400
gnn,20,drop0.3,6,0.7215750618855143,0.9564258835950203,2400
gnn,20,drop0.3,7,0.6102758400868057,0.9685262399472937,2400
gnn,20,drop0.3,8,0.11923451776471715,0.9347570711414285,2400
gnn,20,drop0.3,9,0.19385019390891434,0.9488227768963422,2400
gnn,40,drop0.3,0,3.0184912765117096,0.9724198289108141,4800
gnn,40,drop0.3,1,0.29744519279066384,0.9232872381002314,4800
gnn,40,drop0.3,2,4.023414756540149,0.9757455493082731,4800
gnn,40,drop0.3,3,2.480434115539382,0.9706743474784273,4800
gnn,40,drop0.3,4,1.830362644168384,0.9662351085791421,4800
gnn,40,drop0.3,5,0.34890308879317444,0.9461110984717384,4800
gnn,40,drop0.3,6,1.5990433523251095,0.9630357573294386,4800
gnn,40,drop0.3,7,3.2276306039989624,0.9796507328490162,4800
gnn,40,drop0.3,8,0.53186413611206,0.9491372004732064,4800
gnn,40,drop0.3,9,1.0793499676012597,0.9640754398078656,4800
gnn,80,drop0.3,0,6.731077453001959,0.9706117846359333,9600
gnn,80,drop0.3,1,6.907830345318469,0.9675219631225349,9600
gnn,80,drop0.3,2,7.9208784157935455,0.9710751646001106,9600
gnn,80,drop0.3,3,6.661025785082549,0.9746516295555998,9600
gnn,80,drop0.3,4,2.9074389873841104,0.9611627972177443,9600
gnn,80,drop0.3,5,3.6513510998817593,0.9656350162049762,9600
gnn,80,drop0.3,6,9.644813963762871,0.98044389166107,9600
gnn,80,drop0.3,7,4.387021234538469,0.9738082606301454,9600
gnn,80,drop0.3,8,1.6738967303178793,0.955761008796274,9600
gnn,80,drop0.3,9,2.772066797629617,0.9649852924800886,9600
gnn,160,drop0.3,0,9.413158544154797,0.9688074195984434,19200
gnn,160,drop0.3,1,20.34322236611474,0.9747418898058495,19200
gnn,160,drop0.3,2,13.719334880936493,0.9704667750557748,19200
gnn,160,drop0.3,3,17.325285144177876,0.9776582438507129,19200
gnn,160,drop0.3,4,16.667254190818063,0.9762898302034395,19200
gnn,160,drop0.3,5,8.872590266194344,0.9693594246471564,19200
gnn,160,drop0.3,6,14.735834748190353,0.975413551752355,19200
gnn,160,drop0.3,7,7.400348073291436,0.963028030387106,19200
gnn,160,drop0.3,8,7.628931055965518,0.9663032772637645,19200
gnn,160,drop0.3,9,8.022072691567708,0.9682751433491228,19200
